Var1,Var2
SPREAD_lag3,BILL_lag7
SPREAD_lag3,BILL_lag8
SPREAD_lag3,BILL_lag9
SPREAD_lag3,BILL_lag10
SPREAD_lag3,HI_lag1
SPREAD_lag3,HI_lag2
SPREAD_lag3,HI_lag3
SPREAD_lag3,HI_lag4
SPREAD_lag3,HI_lag5
SPREAD_lag3,HI_lag6
SPREAD_lag3,HI_lag7
SPREAD_lag3,HI_lag8
SPREAD_lag3,HI_lag9
SPREAD_lag3,HI_lag10
SPREAD_lag3,INDPRO_lag1
SPREAD_lag3,INDPRO_lag2
SPREAD_lag3,INDPRO_lag3
SPREAD_lag3,INDPRO_lag4
SPREAD_lag3,INDPRO_lag5
SPREAD_lag3,INDPRO_lag6
SPREAD_lag3,INDPRO_lag7
SPREAD_lag3,INDPRO_lag8
SPREAD_lag3,INDPRO_lag9
SPREAD_lag3,INDPRO_lag10
SPREAD_lag3,TWD_lag1
SPREAD_lag3,TWD_lag2
SPREAD_lag3,TWD_lag3
SPREAD_lag3,TWD_lag4
SPREAD_lag3,TWD_lag5
SPREAD_lag3,TWD_lag6
SPREAD_lag3,TWD_lag7
SPREAD_lag3,TWD_lag8
SPREAD_lag3,TWD_lag9
SPREAD_lag3,TWD_lag10
SPREAD_lag3,WILL500_lag1
SPREAD_lag3,WILL500_lag2
SPREAD_lag3,WILL500_lag3
SPREAD_lag3,WILL500_lag4
SPREAD_lag3,WILL500_lag5
SPREAD_lag3,WILL500_lag6
SPREAD_lag3,WILL500_lag7
SPREAD_lag3,WILL500_lag8
SPREAD_lag3,WILL500_lag9
SPREAD_lag3,WILL500_lag10
SPREAD_lag3,SP500_lag1
SPREAD_lag3,SP500_lag2
SPREAD_lag3,SP500_lag3
SPREAD_lag3,SP500_lag4
SPREAD_lag3,SP500_lag5
SPREAD_lag3,SP500_lag6
SPREAD_lag3,SP500_lag7
SPREAD_lag3,SP500_lag8
SPREAD_lag3,SP500_lag9
SPREAD_lag3,SP500_lag10
SPREAD_lag3,UNRATE_lag1
SPREAD_lag3,UNRATE_lag2
SPREAD_lag3,UNRATE_lag3
SPREAD_lag3,UNRATE_lag4
SPREAD_lag3,UNRATE_lag5
SPREAD_lag3,UNRATE_lag6
SPREAD_lag3,UNRATE_lag7
SPREAD_lag3,UNRATE_lag8
SPREAD_lag3,UNRATE_lag9
SPREAD_lag3,UNRATE_lag10
SPREAD_lag4,SPREAD_lag5
SPREAD_lag4,SPREAD_lag6
SPREAD_lag4,SPREAD_lag7
SPREAD_lag4,SPREAD_lag8
SPREAD_lag4,SPREAD_lag9
SPREAD_lag4,SPREAD_lag10
SPREAD_lag4,BILL_lag1
SPREAD_lag4,BILL_lag2
SPREAD_lag4,BILL_lag3
SPREAD_lag4,BILL_lag4
SPREAD_lag4,BILL_lag5
SPREAD_lag4,BILL_lag6
SPREAD_lag4,BILL_lag7
SPREAD_lag4,BILL_lag8
SPREAD_lag4,BILL_lag9
SPREAD_lag4,BILL_lag10
SPREAD_lag4,HI_lag1
SPREAD_lag4,HI_lag2
SPREAD_lag4,HI_lag3
SPREAD_lag4,HI_lag4
SPREAD_lag4,HI_lag5
SPREAD_lag4,HI_lag6
SPREAD_lag4,HI_lag7
SPREAD_lag4,HI_lag8
